id,participant_id,timestamp_utc,phase,post_id,category,has_face,has_text,colorfulness,visual_complexity,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position
1,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:23.375185,feed,eiffel_bright,travel,0,0,bright,medium,1,1,,,,4.334,1
2,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:28.252293,feed,sunset_person,travel,1,0,unknown,medium,1,1,,,,4.672,2
3,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:30.676256,feed,trees_dark,travel,0,0,dark,medium,1,0,,,,2.344,3
4,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:32.849061,feed,lighthouse_bright,travel,0,0,bright,low,1,0,,,,2.056,4
5,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:37.587788,feed,eiffel_dark,travel,0,0,dark,medium,1,1,,,,4.612,5
6,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:39.411004,feed,lighthouse_brighter,travel,0,0,bright,low,1,0,,,,1.717,6
7,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:52.001237,feed,ocean_dark,travel,0,0,dark,low,1,0,,,,12.494,7
8,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:05:56.270562,feed,forest_dark,travel,0,0,dark,low,1,0,,,,4.182,8
9,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:00.713697,feed,forest_bright,travel,0,0,bright,low,1,0,,,,4.319,9
10,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:04.188405,feed,beach,travel,0,0,unknown,medium,1,1,,,,3.387,10
11,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:06.890882,distractor,,,,,,,,,Coffee,,,,
12,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:12.005213,memory,beach,travel,0,0,unknown,medium,1,,1,1,5,5.002,
13,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:15.680528,memory,lighthouse_bright,travel,0,0,bright,low,1,,0,0,3,3.601,
14,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:21.643130,memory,ocean_dark,travel,0,0,dark,low,1,,0,0,4,5.88,
15,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:26.666113,memory,eiffel_bright,travel,0,0,bright,medium,1,,0,0,5,4.944,
16,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:30.916777,memory,trees_bright,travel,0,0,bright,medium,0,,0,1,1,4.176,
17,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:36.932798,memory,forest_dark,travel,0,0,dark,low,1,,0,0,3,5.943,
18,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:41.385689,memory,forest_bright,travel,0,0,bright,low,1,,0,0,4,4.386,
19,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:48.281690,memory,eiffel_dark,travel,0,0,dark,medium,1,,1,1,5,6.787,
20,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:53.879622,memory,lighthouse_darker,travel,0,0,dark,low,0,,0,1,3,5.453,
21,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:06:56.811869,memory,sunset_person,travel,1,0,unknown,medium,1,,1,1,3,2.839,
22,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:07:01.149323,memory,sunset_noperson,travel,0,0,unknown,medium,0,,1,0,3,4.271,
23,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:07:04.519875,memory,ocean_bright,travel,0,0,bright,low,0,,1,0,3,3.264,
24,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:07:07.321164,memory,lighthouse_brighter,travel,0,0,bright,low,1,,1,1,3,2.726,
25,ef870b6f-0efc-4fc6-9930-85a208113a6c,2026-04-25T20:07:10.764492,memory,trees_dark,travel,0,0,dark,medium,1,,1,1,3,3.372,
26,df02dc20-ee4a-4ae2-92c0-b0ba5ac57c36,2026-04-25T20:32:16.958316,feed,trees_bright,travel,0,0,bright,medium,1,1,,,,9.482,1
